byhomeyyz@raspberrypi:~/Home-View $ pm2 logs --nostream --lines 300
[TAILING] Tailing last 300 lines for [all] processes (change the value with --lines option)
/home/byhomeyyz/.pm2/pm2.log last 300 lines:
PM2        | 2026-04-07T11:13:50: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:13:50: PM2 log: App [unical:0] online

/home/byhomeyyz/.pm2/logs/unical-error.log last 300 lines:
0|unical   |   address: '0.0.0.0',
0|unical   |   port: 5000
0|unical   | }
0|unical   |
0|unical   | Node.js v20.20.2
0|unical   | npm warn Unknown builtin config "globalignorefile". This will stop working in the next major version of npm. See `npm help npmrc` for supported config options.
0|unical   | node:events:502
0|unical   |       throw er; // Unhandled 'error' event
0|unical   |       ^
0|unical   |
0|unical   | Error: listen EADDRINUSE: address already in use 0.0.0.0:5000
0|unical   |     at Server.setupListenHandle [as _listen2] (node:net:1908:16)
0|unical   |     at listenInCluster (node:net:1965:12)
0|unical   |     at doListen (node:net:2139:7)
0|unical   |     at process.processTicksAndRejections (node:internal/process/task_queues:83:21)
0|unical   | Emitted 'error' event on Server instance at:
0|unical   |     at emitErrorNT (node:net:1944:8)
0|unical   |     at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
0|unical   |   code: 'EADDRINUSE',
0|unical   |   errno: -98,
0|unical   |   syscall: 'listen',
0|unical   |   address: '0.0.0.0',
0|unical   |   port: 5000
0|unical   | }
0|unical   |
0|unical   | Node.js v20.20.2
0|unical   | npm warn Unknown builtin config "globalignorefile". This will stop working in the next major version of npm. See `npm help npmrc` for supported config options.
0|unical   | node:events:502
0|unical   |       throw er; // Unhandled 'error' event
0|unical   |       ^
0|unical   |
0|unical   | Error: listen EADDRINUSE: address already in use 0.0.0.0:5000
0|unical   |     at Server.setupListenHandle [as _listen2] (node:net:1908:16)
0|unical   |     at listenInCluster (node:net:1965:12)
0|unical   |     at doListen (node:net:2139:7)
